configuration,source,device_key,power_scope,method,pair_index,moving_idx,fixed_idx,mi_before,mi_after,ssim_deformed_fixed,ssim_deformed_moving,dice_before,dice_after,flow_min,flow_max,flow_mean,flow_std,tre_before_mm,tre_mm,tre_median_mm,tre_label_count,tre_missing_warped_labels,tre_per_label_mm,model_inference_ms,postprocess_ms,total_runtime_ms,power_wall_time_s,cpu_energy_j,cpu_dynamic_energy_j,cpu_power_mean_w,gpu_energy_j,gpu_dynamic_energy_j,gpu_power_mean_w,gpu_power_peak_w,gpu_power_samples,energy_j,dynamic_energy_j,power_mean_w,process_rss_start_mb,process_rss_end_mb,process_rss_peak_mb,process_rss_delta_mb,process_memory_samples,tre_eligible_label_count,cpu_power_peak_w,cpu_power_samples,cpu_power_backend,power_repetitions
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,3,16,4,0.5216886606039635,0.6128722407069903,0.7485880255699158,0.8500667810440063,0.613818883895874,0.7515896558761597,-7.926852703094482,7.236202239990234,0.026911741122603416,0.9555422067642212,3.745490901172161,2.4955158196389675,2.4157328605651855,16,[],"{'2': 3.4540114402770996, '3': 2.878190040588379, '4': 2.2831623554229736, '7': 0.8942190408706665, '8': 4.553370475769043, '10': 0.7484380006790161, '11': 2.385058641433716, '12': 2.4464070796966553, '13': 2.9750022888183594, '14': 0.5000433325767517, '15': 0.8454897403717041, '16': 0.5670471787452698, '17': 6.3603315353393555, '18': 5.668166637420654, '26': 2.8889522552490234, '28': 0.48036307096481323}",1820.0010997243226,98617.2808133997,100437.28191312402,102.99254627944902,109.174170531175,15.515323758301049,1.060020112862861,77.38912036943525,0.14471065984848386,0.7514050595414531,1.25,1011,186.56329090061024,15.660034418149532,1.8114251724043142,1033.0625,1005.06640625,1417.0390625,-27.99609375,1019,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,4,14,8,0.5163238421344944,0.6022912901731609,0.7192989587783813,0.8462876081466675,0.5742167234420776,0.7143674492835999,-8.0,7.9375,0.04316919296979904,0.984124481678009,4.296920575201511,2.723931980319321,2.0837422609329224,16,[],"{'2': 5.174133777618408, '3': 3.126851797103882, '4': 0.21860916912555695, '7': 7.357712268829346, '8': 8.000175476074219, '10': 1.5910615921020508, '11': 3.5432841777801514, '12': 2.8954079151153564, '13': 2.4435606002807617, '14': 0.8662003874778748, '15': 1.172284483909607, '16': 0.6836869120597839, '17': 2.259593963623047, '18': 1.9078905582427979, '26': 1.2591784000396729, '28': 1.0832802057266235}",584.5270631834865,98649.03098391369,99233.55804709718,99.75518497126177,106.00194379449596,15.287072461254786,1.0626208935909829,74.86661817054052,0.05022944209419866,0.7505035271310324,1.0,976,180.8685619650365,15.337301903348985,1.8131244207220154,1005.08984375,983.0234375,1452.1328125,-22.06640625,980,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,4,14,8,0.5163238421344944,0.5935059658539181,0.7191158533096313,0.812818706035614,0.5742167234420776,0.7689284682273865,-7.999671936035156,7.9375,0.07742815464735031,1.008553147315979,4.296920575201511,2.5103528518229723,1.350010633468628,16,[],"{'2': 4.70603609085083, '3': 4.014403820037842, '4': 0.3816410005092621, '7': 8.024571418762207, '8': 8.018074035644531, '10': 1.1543442010879517, '11': 3.1237075328826904, '12': 2.9054720401763916, '13': 1.122826337814331, '14': 0.4539060890674591, '15': 1.3468493223190308, '16': 0.7646375894546509, '17': 1.8965771198272705, '18': 1.353171944618225, '26': 0.29378923773765564, '28': 0.6056378483772278}",1827.9692116193473,98751.79143622518,100579.76064784452,103.1543527143076,109.69337048763835,15.88738098806486,1.0633906141744784,77.73716042878861,0.37139589305791243,0.7536003899330018,1.25,1010,187.43053091642696,16.25877688112277,1.8169910041074804,1005.08984375,1008.65234375,1443.02734375,3.5625,1018,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,4,14,8,0.5163238421344944,0.5972392244775744,0.717860221862793,0.8309377431869507,0.5742167234420776,0.7620446681976318,-7.564972400665283,7.932231426239014,0.07740862667560577,0.9368686676025391,4.296920575201511,2.5206938944756985,1.4139412641525269,16,[],"{'2': 4.725450038909912, '3': 3.861685276031494, '4': 0.30504217743873596, '7': 8.156554222106934, '8': 7.933840751647949, '10': 1.3533363342285156, '11': 3.5104737281799316, '12': 2.902524709701538, '13': 1.0782406330108643, '14': 0.3921351134777069, '15': 1.412857174873352, '16': 0.9039104580879211, '17': 1.5249956846237183, '18': 1.4150253534317017, '26': 0.33761030435562134, '28': 0.5174203515052795}",1827.9692116193473,98630.28537714854,100458.25458876789,103.03271498531103,109.52566301334755,15.830287823580319,1.0630183144155931,77.64593213204118,0.37139589305791243,0.7536046404592062,1.25,1008,187.17159514538872,16.20168371663823,1.8166229548747992,1005.08984375,983.0234375,1435.0078125,-22.06640625,1016,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,5,5,9,0.5245065142387927,0.5971734309084674,0.7718778252601624,0.8945586085319519,0.5722911357879639,0.7048101425170898,-8.0,7.9375,0.038118891417980194,0.8623455762863159,3.2595636062324047,2.876924090087414,2.4032546281814575,16,[],"{'2': 1.4020179510116577, '3': 0.852022647857666, '4': 4.996756553649902, '7': 2.538116931915283, '8': 1.4694660902023315, '10': 3.0732057094573975, '11': 7.409426212310791, '12': 3.169642448425293, '13': 7.569230556488037, '14': 2.747953176498413, '15': 1.033218264579773, '16': 1.0692360401153564, '17': 1.3572478294372559, '18': 1.829268455505371, '26': 3.24558424949646, '28': 2.268392324447632}",569.9565326794982,98502.45551532134,99072.41204800084,99.5890236585401,106.12127847201673,15.557510082531818,1.0655921162142699,74.76577185656325,0.07400411265817564,0.7507430950715203,1.25,973,180.88705032858,15.631514195189995,1.8163352112857902,1008.0234375,1087.41015625,1416.0078125,79.38671875,977,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,5,5,9,0.5245065142387927,0.5889388897511834,0.773531973361969,0.863493800163269,0.5722911357879639,0.7791822552680969,-7.970851898193359,7.2760419845581055,0.06024947762489319,0.913676917552948,3.2595636062324047,1.8907780535519123,1.612801730632782,16,[],"{'2': 1.7840590476989746, '3': 1.8942753076553345, '4': 4.056813716888428, '7': 2.619830369949341, '8': 2.0853371620178223, '10': 1.1870698928833008, '11': 2.866886615753174, '12': 1.435232162475586, '13': 3.705432176589966, '14': 1.100704550743103, '15': 0.6525148749351501, '16': 0.535172164440155, '17': 2.529003858566284, '18': 0.9509896636009216, '26': 1.4415444135665894, '28': 1.4075828790664673}",1826.2745584361255,98369.96118538082,100196.23574381694,102.80823931563646,109.83878268321894,16.347540055562025,1.0683850186948312,77.37663969458927,0.2704602078619329,0.7526307250242034,1.25,1005,187.2154223778082,16.61800026342396,1.8210157437190346,1008.0234375,1115.41015625,1486.1328125,107.38671875,1013,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,5,5,9,0.5245065142387927,0.5917317848436664,0.7719542980194092,0.879682183265686,0.5722911357879639,0.7735860347747803,-7.384122371673584,7.210141658782959,0.06023725867271423,0.8510825037956238,3.2595636062324047,1.8389264456927776,1.7104797959327698,16,[],"{'2': 1.6899076700210571, '3': 1.8302626609802246, '4': 3.8062922954559326, '7': 2.6233038902282715, '8': 2.06609845161438, '10': 1.376282811164856, '11': 2.9561524391174316, '12': 1.7310519218444824, '13': 3.4966917037963867, '14': 0.9076710343360901, '15': 0.7089173197746277, '16': 0.5499910712242126, '17': 2.124155044555664, '18': 0.9272494316101074, '26': 1.2527694702148438, '28': 1.376025915145874}",1826.2745584361255,98516.47699112073,100342.75154955685,102.95471595134586,110.3085331517243,16.684088333469152,1.0714276867497132,77.48649717137133,0.2704602078619329,0.7526269822160429,1.25,1006,187.79503032309563,16.954548541331086,1.8240546689657562,1008.0234375,1087.41015625,1424.9453125,79.38671875,1014,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,6,13,11,0.5017329558976177,0.5943563537038024,0.7554240226745605,0.8580194115638733,0.4667867124080658,0.6454540491104126,-8.0,7.9375,0.010826818645000458,0.9824091196060181,5.598027631640434,3.955188786610961,2.752864360809326,16,[],"{'2': 0.7823449373245239, '3': 1.5162057876586914, '4': 8.621060371398926, '7': 1.4269462823867798, '8': 1.8637287616729736, '10': 3.341132164001465, '11': 8.776138305664062, '12': 7.24588680267334, '13': 7.59366512298584, '14': 4.14566707611084, '15': 0.4762958586215973, '16': 0.9547280669212341, '17': 1.7369215488433838, '18': 5.299670219421387, '26': 7.3380327224731445, '28': 2.1645965576171875}",575.9837757796049,98867.28209862486,99443.26587440446,99.96851461613551,108.20710122281696,17.298233243768724,1.082411813742721,75.051390353368,0.07500439126637182,0.7507502801412463,1.25,974,183.25849157618495,17.373237635035096,1.8331620938839672,1006.94140625,1061.7578125,1468.99609375,54.81640625,978,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,6,13,11,0.5017329558976177,0.5863672451463466,0.7585563063621521,0.8229568004608154,0.4667867124080658,0.7362504005432129,-8.0,7.9375,-0.011820567771792412,1.0667130947113037,5.598027631640434,2.6542954966425896,2.173933446407318,16,[],"{'2': 0.7699876427650452, '3': 2.6646246910095215, '4': 6.868333339691162, '7': 1.4302562475204468, '8': 1.89700448513031, '10': 1.9127141237258911, '11': 3.3056485652923584, '12': 6.479250431060791, '13': 3.1976735591888428, '14': 3.4764180183410645, '15': 0.8656180500984192, '16': 0.7736080884933472, '17': 1.0459309816360474, '18': 3.8374228477478027, '26': 2.435152769088745, '28': 1.5090841054916382}",1830.1822864450514,98787.89778612554,100618.08007257059,103.20893186703324,111.37572681725467,17.520104400671308,1.0791287614597438,77.65887290214243,0.25217400186750516,0.7524433350612754,1.25,1006,189.03459971939708,17.772278402538813,1.831572096521019,1006.94140625,1006.9453125,1446.3359375,0.00390625,1014,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,6,13,11,0.5017329558976177,0.5918678176144272,0.7567186951637268,0.8389637470245361,0.4667867124080658,0.7292683720588684,-7.859433650970459,7.696159362792969,-0.011822300031781197,1.007288932800293,5.598027631640434,2.7161865830421448,2.27256578207016,16,[],"{'2': 0.7579712867736816, '3': 2.6041905879974365, '4': 7.152647972106934, '7': 1.4932589530944824, '8': 1.9409409761428833, '10': 1.9249094724655151, '11': 3.307068109512329, '12': 6.317165851593018, '13': 4.164975166320801, '14': 3.0232558250427246, '15': 0.7692444324493408, '16': 0.7906383275985718, '17': 1.5849528312683105, '18': 3.581235885620117, '26': 2.697873115539551, '28': 1.3486565351486206}",1830.1822864450514,98924.50933204964,100754.69161849469,103.34669249411672,111.72808221195572,17.74718372511831,1.0810997383231797,77.76219337245504,0.25217400186750516,0.752440078107791,1.25,1007,189.49027558441077,17.999357726985817,1.8335398164309709,1006.94140625,1061.7578125,1466.14453125,54.81640625,1015,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,7,7,10,0.5090681874608713,0.5974745827583552,0.7126414179801941,0.8351803421974182,0.625015377998352,0.751335859298706,-8.0,7.9375,0.042502060532569885,0.8421801328659058,3.703852728009224,2.2330660969018936,1.886143147945404,16,[],"{'2': 0.803583025932312, '3': 1.2894338369369507, '4': 2.1963229179382324, '7': 1.978271484375, '8': 4.400154113769531, '10': 1.5749095678329468, '11': 1.5617064237594604, '12': 1.7186353206634521, '13': 4.43347692489624, '14': 3.5753021240234375, '15': 1.0802311897277832, '16': 1.4172815084457397, '17': 1.9606317281723022, '18': 2.7727608680725098, '26': 3.1547019481658936, '28': 1.8116545677185059}",578.0014623887837,97509.18457331136,98087.18603570014,98.61318996362388,107.13638765554236,17.460018032371902,1.0864306052269732,74.08521688180257,0.1253244090846486,0.75127086862448,1.25,958,181.22160453734492,17.58534244145655,1.837701473851453,1061.76953125,1006.95703125,1365.11328125,-54.8125,962,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,7,7,10,0.5090681874608713,0.5944258700447842,0.7104146480560303,0.8050326108932495,0.625015377998352,0.7630630731582642,-7.815202236175537,7.606889247894287,0.02901352010667324,0.8888893723487854,3.703852728009224,1.8975388407707214,1.3232126235961914,16,[],"{'2': 0.5515385270118713, '3': 2.009921073913574, '4': 0.7690922021865845, '7': 2.0374999046325684, '8': 4.031010150909424, '10': 1.2021042108535767, '11': 2.902440309524536, '12': 1.2464004755020142, '13': 3.306548833847046, '14': 3.5020618438720703, '15': 0.735550582408905, '16': 1.1448328495025635, '17': 1.1921335458755493, '18': 1.2670425176620483, '26': 3.083061695098877, '28': 1.3793827295303345}",1835.157668683678,97712.070946116,99547.22861479968,102.14546922128648,111.1645323160976,18.275996242990203,1.088296261827065,76.95508873447255,0.34598681850770086,0.7533871969177425,1.5,994,188.11962105057017,18.621983061497904,1.8416834587448077,1061.76953125,1142.0859375,1448.27734375,80.31640625,1002,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,7,7,10,0.5090681874608713,0.5962587391522216,0.7101946473121643,0.8219475150108337,0.625015377998352,0.7581275701522827,-7.356890678405762,7.0334391593933105,0.029010441154241562,0.8246381282806396,3.703852728009224,1.9236584156751633,1.460335373878479,16,[],"{'2': 0.4122108221054077, '3': 1.758259654045105, '4': 1.05283522605896, '7': 2.112584114074707, '8': 4.0337066650390625, '10': 1.2493371963500977, '11': 3.2180070877075195, '12': 1.4168305397033691, '13': 3.2956812381744385, '14': 3.4869909286499023, '15': 0.6627007126808167, '16': 1.3111343383789062, '17': 0.5752968192100525, '18': 1.4025516510009766, '26': 3.286567449569702, '28': 1.5038402080535889}",1835.157668683678,97731.82755801827,99566.98522670195,102.1652263039723,111.091830924393,18.185328254218177,1.087374197105592,76.96990654648692,0.34598681850770086,0.7533865418892949,1.5,993,188.0617374708799,18.531315072725878,1.8407607389948868,1061.76953125,1062.26953125,1426.21875,0.5,1001,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,8,15,3,0.5117392244171299,0.6098845077451158,0.758899986743927,0.866050660610199,0.5293892621994019,0.6872342228889465,-8.0,7.9375,0.023786354809999466,1.025960922241211,2.845947526395321,1.823891183361411,1.5143704414367676,16,[],"{'2': 1.406395435333252, '3': 0.44373688101768494, '4': 5.021698474884033, '7': 1.41390860080719, '8': 0.7220862507820129, '10': 1.3647255897521973, '11': 2.311189651489258, '12': 2.1136841773986816, '13': 3.305302143096924, '14': 1.3298994302749634, '15': 1.0172306299209595, '16': 0.6294743418693542, '17': 2.6811957359313965, '18': 1.6148322820663452, '26': 1.753089189529419, '28': 2.0538101196289062}",573.8899218849838,97778.32228597254,98352.21220785752,98.86358188139275,107.65875647549004,17.754686702098493,1.0889627345754973,74.2462449649624,0.09855855391784152,0.7509969146579787,1.25,958,181.90500144045242,17.853245256016336,1.839959649233476,1060.58203125,1222.49609375,1511.73046875,161.9140625,962,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,8,15,3,0.5117392244171299,0.5988114741533315,0.7634626626968384,0.8324781060218811,0.5293892621994019,0.7464202642440796,-8.0,7.9375,0.05080940201878548,1.1041927337646484,2.845947526395321,1.4271104000508785,1.5080214738845825,16,[],"{'2': 2.2371954917907715, '3': 0.7774808406829834, '4': 1.4720075130462646, '7': 1.5440354347229004, '8': 0.6036186218261719, '10': 1.6881917715072632, '11': 2.8232648372650146, '12': 1.5790129899978638, '13': 0.8527400493621826, '14': 0.7163896560668945, '15': 1.0576276779174805, '16': 0.8207173943519592, '17': 1.7752853631973267, '18': 1.053731918334961, '26': 2.1911706924438477, '28': 1.641296148300171}",1835.3003654628992,97458.58188392594,99293.88224938884,101.8746615825221,111.10252367501565,18.460253298409604,1.0905805422972488,76.75985145786251,0.3538552709709417,0.753473437511096,1.25,987,187.86237513287816,18.814108569380547,1.8440539798083448,1060.58203125,1137.8359375,1516.15625,77.25390625,995,,,,,
